L000582,CA,33,Ted_Lieu,M,D,2015,none,RepTedLieu,92,73,70,72,71
L000583,GA,11,Barry_Loudermilk,M,R,2015,none,RepLoudermilk,90,73,70,69,70
L000584,UT,4,Mia_Love,F,R,2015,none,repmialove,94,73,68,67,69
M000087,NY,12,Carolyn_B._Maloney,F,D,1993,397176447066236,RepMaloney,91,76,80,73,77
M000312,MA,2,James_P._McGovern,M,D,1997,148299805224565,RepMcGovern,94,85,75,80,82
M000404,WA,7,Jim_A._McDermott,M,D,1989,246418928093,RepJimMcDermott,93,74,75,71,74
M000689,FL,7,John_L._Mica,M,R,1993,JohnMica,None,94,73,71,67,70
M001137,NY,5,Gregory_W._Meeks,M,D,1997,1557025818,GregoryMeeks,91,73,71,73,71
M001143,MN,4,Betty_Louise_McCollum,F,D,2001,153386471383393,BettyMcCollum04,94,74,71,77,73
M001144,FL,1,Jeff_Miller,M,R,2001,66367876671,None,91,77,75,73,76
M001150,MI,10,Candice_S._Miller,F,R,2003,210401648605,CandiceMiller,92,74,74,72,73
M001151,PA,18,Tim_Murphy,M,R,2003,105769762798552,RepTimMurphy,87,73,74,72,73
M001156,NC,10,Patrick_T._McHenry,M,R,2005,8045519803,PatrickMcHenry,93,74,70,72,72
M001157,TX,10,Michael_T._McCaul,M,R,2005,6355254859,McCaulPressShop,93,75,75,76,75
M001158,TX,24,Kenny_Ewell_Marchant,M,R,2005,6349487899,RepKenMarchant,88,73,71,77,72
M001159,WA,5,Cathy_McMorris Rodgers,F,R,2005,321618789771,CathyMcMorris,92,76,77,74,76
M001160,WI,4,Gwen_Moore,F,D,2005,58864029545,RepGwenMoore,91,76,75,83,77
M001163,CA,6,Doris_O._Matsui,F,D,2005,doris.matsui,DorisMatsui,96,84,79,77,83
M001165,CA,23,Kevin_McCarthy,M,R,2007,51052893175,GOPLeader,94,74,73,68,72
M001166,CA,9,Jerry_McNerney,M,D,2007,215241308510238,RepMcNerney,92,75,78,77,77
M001177,CA,4,Tom_McClintock,M,R,2009,81125319109,RepMcClintock,90,75,74,79,76
M001179,PA,10,Tom_Marino,M,R,2011,144408762280226,RepTomMarino,93,74,79,78,77
M001180,WV,1,David_B._McKinley,M,R,2011,130377260362609,RepMcKinley,93,76,88,79,82
M001181,PA,7,Patrick_Meehan,M,R,2011,136000283132824,RepMeehan,92,76,78,76,77
M001182,SC,5,Mick_Mulvaney,M,R,2011,188649667827713,RepMickMulvaney,87,73,85,80,79
M001184,KY,4,Thomas_Massie,M,R,2012,452480994776070,RepThomasMassie,81,73,72,71,72
M001185,NY,18,Sean_Patrick_Maloney,M,D,2013,551199354892891,RepSeanMaloney,85,73,78,79,76
M001187,NC,11,Mark_Meadows,M,R,2013,409882952423501,RepMarkMeadows,93,76,78,80,78
M001188,NY,6,Grace_Meng,F,D,2013,195734010571362,RepGraceMeng,90,73,80,81,77
M001189,IN,6,Luke_Messer,M,R,2013,367444640018564,RepLukeMesser,95,76,75,75,76
M001190,OK,2,Markwayne_Mullin,M,R,2013,453637624684399,RepMullin,93,76,75,74,75
