hr6729-112$$$To save at least $10,000,000,000 by consolidating some duplicative and overlapping Government programs.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6729$$$False$$$False$$$False$$$C001048$$$2013-01-01$$$2013-01-01
hr6717-112$$$To provide consumer protections for students.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6717$$$False$$$False$$$False$$$C000714$$$2012-12-30$$$2013-01-02
hr6716-112$$$To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to eliminate the sequestrations for fiscal year 2013.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6716$$$False$$$False$$$False$$$D000327$$$2012-12-30$$$2012-12-30
hr6715-112$$$To authorize the Secretary of Homeland Security, acting through the Administrator of the Federal Emergency Management Agency, to make grants to State and local governments to assist in preparing for and responding to mass casualty incidents, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6715$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6714-112$$$To establish a grant program for automated external defibrillators in schools.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6714$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6713-112$$$To amend the Security and Accountability For Every Port Act of 2006 to require a feasibility study on meeting the 100 percent requirement to scan containers destined for the United States in order to extend the deadline for such scanning, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6713$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6712-112$$$To require the disclosure to parents of information regarding mental illness treatment for their children under the age of 26.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6712$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6711-112$$$To direct the Secretary of Homeland Security to make certain considerations when assigning chemical facilities to risk-based tiers pursuant to the Chemical Facility Anti-Terrorism Standards.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6711$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6710-112$$$To include geriatrics and gerontology in the definition of "primary health services" under the National Health Service Corps program.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6710$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6709-112$$$To reauthorize the course material pilot grant program under the Higher Education Opportunity Act, and for other purposes.$$$None$$$Course Material Pilot Grant Program Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6709$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6708-112$$$To authorize certain appropriations under the Native American Programs Act of 1974.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6708$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6707-112$$$To amend the Child Care and Development Block Grant Act of 1990 to authorize a national toll-free hotline and website, to develop and disseminate child care consumer education information for parents and to help parents access child care in their community, and for other purposes.$$$None$$$Child Care and Resources Education Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6707$$$False$$$False$$$False$$$R000581$$$2012-12-27$$$2012-12-27
hr6706-112$$$To amend the Fair Debt Collection Practices Act to preclude law firms and licensed attorneys from the definition of a debt collector when taking certain actions.$$$None$$$Fair Debt Collection Practices Technical Correction Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6706$$$False$$$False$$$False$$$J000255$$$2012-12-27$$$2012-12-27
hr6705-112$$$To amend the Internal Revenue Code of 1986 to reduce the depreciation recovery periods for energy efficient commercial buildings, and for other purposes.$$$None$$$Building Efficiently Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6705$$$False$$$False$$$False$$$L000559$$$2012-12-21$$$2012-12-21
hr6704-112$$$To reauthorize the ban on undetectable firearms.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6704$$$False$$$False$$$False$$$I000057$$$2012-12-21$$$2012-12-21
hr6703-112$$$To enable States to implement integrated statewide education longitudinal data systems.$$$None$$$Measuring and Evaluating Trends for Reliability, Integrity, and Continued Success (METRICS) Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6703$$$False$$$False$$$False$$$H001032$$$2012-12-21$$$2012-12-21
hr6702-112$$$To amend the National Organ Transplant Act to prevent the sale of bone marrow and umbilical cord blood, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6702$$$False$$$False$$$False$$$Y000031$$$2012-12-20$$$2012-12-20
hr6701-112$$$To provide for the continued lease or eventual conveyance of certain Federal land within the boundaries of Fort Wainwright Military Reservation in Fairbanks, Alaska.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6701$$$False$$$False$$$False$$$Y000033$$$2012-12-20$$$2013-01-02
hr6700-112$$$To amend the Internal Revenue Code of 1986 to disallow deductions for the payment of punitive damages, and for other purposes.$$$None$$$Stop Deducting Damages Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6700$$$False$$$False$$$False$$$W000800$$$2012-12-20$$$2012-12-20
hr6699-112$$$To provide certain assistance to North Atlantic Treaty Organization allies.$$$None$$$Liquefied Natural Gas for NATO Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6699$$$False$$$False$$$False$$$T000463$$$2012-12-20$$$2012-12-20
hr6698-112$$$To direct the President to submit to Congress a report on fugitives currently residing in other countries whose extradition is sought by the United States and related matters.$$$None$$$Walter Patterson Justice and Extradition Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6698$$$False$$$False$$$False$$$S000522$$$2012-12-20$$$2012-12-20
hr6697-112$$$To amend the citizen suit provisions in several statutes to impose an additional award to prevailing plaintiffs.$$$None$$$Consumer Bounty Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6697$$$False$$$False$$$False$$$K000336$$$2012-12-20$$$2013-01-02
hr6696-112$$$To direct the Secretary of the Interior to take certain land located in Pinal County, Arizona, into trust for the benefit of the Gila River Indian Community, and for other purposes.$$$None$$$The Blackwater Trading Post Land Transfer Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6696$$$False$$$False$$$False$$$G000565$$$2012-12-20$$$2013-01-02
hr6695-112$$$To amend the Securities Investor Protection Act of 1970 to confirm that a customer's net equity claim is based on the customer's last statement and that certain recoveries are prohibited, to change how trustees are appointed, and for other purposes.$$$None$$$Equitable Treatment of Investors Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6695$$$False$$$False$$$False$$$G000548$$$2012-12-20$$$2012-12-20
hr6694-112$$$To amend the definition of mortgage originator under the Dodd-Frank Wall Street Reform and Consumer Protection Act to include certain employees of a retailer of manufactured homes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6694$$$False$$$False$$$False$$$F000458$$$2012-12-20$$$2012-12-21
hr6693-112$$$To amend the Animal Welfare Act to provide for the protection of birds, rats, and mice, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6693$$$False$$$False$$$False$$$C001078$$$2012-12-20$$$2012-12-20
hr6692-112$$$To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to exempt the Substance Abuse and Mental Health Services Administration (SAMHSA) from sequestration.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6692$$$False$$$False$$$False$$$C001085$$$2012-12-20$$$2012-12-20
hr6691-112$$$To establish and operate a National Center for Campus Public Safety.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6691$$$False$$$False$$$False$$$S000185$$$2012-12-20$$$2012-12-20
hr6690-112$$$To limit the Secretary of the Air Force from retiring or transferring certain aircraft of the Air National Guard or Air Force Reserve.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6690$$$False$$$False$$$False$$$L000111$$$2012-12-20$$$2012-12-20
hr6689-112$$$To amend the Reclamation Wastewater and Groundwater Study and Facilities Act to authorize the Secretary of the Interior to participate in the design, planning, and construction of the South Sacramento County Agriculture and Habitat Lands Water Recycling Project in Sacramento County, California.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6689$$$False$$$False$$$False$$$M001163$$$2012-12-19$$$2013-01-02
hr6688-112$$$To extend tax relief for all Americans, to replace the defense sequester scheduled to take effect on January 2, 2013, with responsible reductions in direct and other spending, and for other purposes.$$$None$$$Averting the Fiscal Cliff Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6688$$$False$$$False$$$False$$$J000289$$$2012-12-19$$$2012-12-19
hr6687-112$$$To amend the Internal Revenue Code of 1986 to include vaccines against seasonal influenza within the definition of taxable vaccines.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6687$$$False$$$False$$$False$$$G000549$$$2012-12-19$$$2012-12-19
hr6686-112$$$To amend the Toxic Substances Control Act relating to certain mercury compounds, products, and processes.$$$None$$$Mercury Use Reduction Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6686$$$False$$$False$$$False$$$E000215$$$2012-12-19$$$2012-12-19
hr6685-112$$$To protect the Nation's law enforcement officers by banning the Five-seveN Pistol and 5.7 x 28mm SS190, SS192, SS195LF, SS196, and SS197 cartridges, testing handguns and ammunition for capability to penetrate body armor, and prohibiting the manufacture, importation, sale, or purchase of such handguns or ammunition by civilians.$$$None$$$PLEA Act$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6685$$$False$$$False$$$False$$$E000179$$$2012-12-19$$$2012-12-19
hr6684-112$$$To provide for spending reduction.$$$None$$$Spending Reduction Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6684$$$True$$$False$$$False$$$C001046$$$2012-12-19$$$2012-12-21
hr6683-112$$$To amend the Internal Revenue Code of 1986 to provide tax relief for damages relating to Hurricane Sandy, and for other purposes.$$$None$$$Hurricane Sandy Tax Relief Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6683$$$False$$$False$$$False$$$P000096$$$2012-12-19$$$2012-12-19
hr6682-112$$$To establish consistent requirements for the electronic content and format of data used in the administration of certain human services programs under the Social Security Act.$$$None$$$Standard DATA Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6682$$$False$$$False$$$False$$$R000585$$$2012-12-18$$$2012-12-19
hr6681-112$$$To designate the facility of the United States Postal Service located at 815 County Road 23 in Tyrone, New York, as the "Specialist Christopher Scott Post Office Building".$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6681$$$False$$$False$$$False$$$R000585$$$2012-12-18$$$2012-12-18
hr6680-112$$$To provide for the implementation of a system of licensing for purchasers of certain firearms and for a record of sale system for those firearms, and for other purposes.$$$None$$$Blair Holt's Firearm Licensing and Record of Sale Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6680$$$False$$$False$$$False$$$R000515$$$2012-12-18$$$2012-12-18
hr6679-112$$$To amend the Federal Food, Drug, and Cosmetic Act to increase criminal penalties for the sale or trade of prescription drugs knowingly caused to be adulterated or misbranded, to modify requirements for maintaining records of the chain-of-custody of prescription drugs, to establish recall authority regarding drugs, and for other purposes.$$$None$$$Counterfeit Drug Enforcement Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6679$$$False$$$False$$$False$$$I000057$$$2012-12-18$$$2012-12-19
hr6678-112$$$To amend the Internal Revenue Code of 1986 to encourage research at community colleges and other institutions of higher education, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6678$$$False$$$False$$$False$$$H001032$$$2012-12-18$$$2012-12-18
hr6677-112$$$To amend the Internal Revenue Code of 1986 to replace the mortgage interest deduction with a nonrefundable credit for indebtedness secured by a residence, to provide affordable housing to extremely low-income families, and for other purposes.$$$None$$$Common Sense Housing Investment Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6677$$$False$$$False$$$False$$$E000288$$$2012-12-18$$$2012-12-18
hr6676-112$$$To amend the FAA Modernization and Reform Act of 2012 to provide guidance and limitations regarding the integration of unmanned aircraft systems into United States airspace, and for other purposes.$$$None$$$Drone Aircraft Privacy and Transparency Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6676$$$False$$$False$$$False$$$M000133$$$2012-12-18$$$2012-12-19
hr6675-112$$$To direct the Secretary of Commerce to establish a program under which preloaded debit cards are made available for the purchase of certain goods and services.$$$None$$$Economic Stimulus, Tax Credit Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6675$$$False$$$False$$$False$$$A000210$$$2012-12-18$$$2012-12-18
hr6674-112$$$To simplify and improve the Federal student loan program through income-contingent repayment to provide stronger protections for borrowers, encourage responsible borrowing, and save money for taxpayers.$$$None$$$Earnings Contingent Education Loans Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6674$$$False$$$False$$$False$$$P000265$$$2012-12-17$$$2012-12-17
hr6673-112$$$To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.$$$None$$$Parental Bereavement Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6673$$$False$$$False$$$False$$$I000057$$$2012-12-17$$$2012-12-17
hr6672-112$$$To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes.$$$None$$$Pandemic and All-Hazards Preparedness Reauthorization Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6672$$$True$$$False$$$False$$$R000572$$$2012-12-17$$$2013-01-02
hr6671-112$$$To amend section 2710 of title 18, United States Code, to clarify that a video tape service provider may obtain a consumer's informed, written consent on an ongoing basis and that consent may be obtained through the Internet.$$$None$$$Video Privacy Protection Act Amendments Act of 2012$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6671$$$True$$$False$$$True$$$G000289$$$2012-12-17$$$2013-01-10
hr6670-112$$$To amend the Reclamation States Emergency Drought Relief Act of 1991 for the purposes of extending the Reclamation States Emergency Drought Relief Act of 1991 through 2017, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/112th/house-bill/6670$$$False$$$False$$$False$$$M000133$$$2012-12-13$$$2012-12-21
