C001038,96.4,36,488,3.1,17,49,9.4,56.43,49.45,49.82,55.81,95.12,
C001045,93.3,12,387,1.3,15,37,9.3,51.13,46.07,47.93,55.67,97.95,
C001046,95.6,8,0,8.0,15,4,50.0,48.65,45.51,40.71,75.00,87.40,
C001047,92.6,53,524,2.3,15,37,6.4,57.97,51.84,50.49,51.47,96.38,
C001048,94.7,26,434,9.6,15,43,9.3,44.22,48.04,48.81,55.67,84.88,
C001049,95.1,44,756,5.1,15,37,4.6,55.50,50.57,54.82,48.86,91.97,
C001050,72.9,4,117,23.9,13,16,13.2,21.39,44.94,42.90,61.32,62.36,
C001051,94.5,29,505,4.4,13,42,7.9,51.11,48.46,50.14,53.64,93.07,
C001053,92.8,31,680,2.2,13,47,6.6,58.14,48.74,53.40,51.76,96.54,
C001056,90.6,95,468,1.3,14,12,2.1,60.67,57.75,49.45,45.24,97.95,
C001058,74.6,3,127,2.4,12,8,6.2,39.26,44.80,43.08,51.18,96.22,
C001059,72.5,30,455,4.4,11,38,7.8,49.82,48.60,49.20,53.50,93.07,
C001060,95.4,26,305,3.0,11,21,6.3,46.05,48.04,46.40,51.32,95.28,
C001061,95.2,33,522,9.3,11,41,7.4,45.47,49.03,50.45,52.92,85.35,
C001062,96.0,17,516,0.4,11,42,7.9,55.26,46.77,50.34,53.64,99.37,
C001063,76.0,19,320,1.6,11,36,10.6,52.16,47.05,46.68,57.55,97.48,
C001064,89.0,19,225,31.1,11,29,11.9,16.11,47.05,44.91,59.44,51.02,
C001066,96.0,20,602,4.5,9,33,5.3,48.48,47.20,51.95,49.88,92.91,
C001067,94.6,17,870,4.3,9,45,5.1,54.97,46.77,56.95,49.59,93.23,
C001068,95.0,92,1373,2.8,9,46,3.1,84.90,57.33,66.33,46.69,95.59,
C001069,94.7,38,816,1.5,9,41,4.8,61.99,49.73,55.94,49.15,97.64,
C001070,93.2,303,532,0.7,9,21,2.5,90.41,75.00,50.64,45.82,98.90,
