s900-113$$$A bill to amend the Internal Revenue Code of 1986 to regulate payroll tax deposit agents, and for other purposes.$$$None$$$Small Business Payroll Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/900$$$False$$$False$$$False$$$M000702
s865-113$$$A bill to provide for the establishment of a Commission to Accelerate the End of Breast Cancer.$$$None$$$Accelerating the End of Breast Cancer Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/865$$$False$$$False$$$False$$$W000802
s864-113$$$A bill to amend the Safe Drinking Water Act to reauthorize technical assistance to small public water systems, and for other purposes.$$$None$$$Grassroots Rural and Small Community Water Systems Assistance Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/864$$$True$$$False$$$False$$$W000437
s863-113$$$A bill to amend title 38, United States Code, to repeal time limitations on the eligibility for use of educational assistance under All-Volunteer Force Educational Assistance Program, to improve veterans education outreach, and for other purposes.$$$None$$$Veterans Back to School Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/863$$$True$$$False$$$False$$$B001277
s862-113$$$A bill to amend section 5000A of the Internal Revenue Code of 1986 to provide an additional religious exemption from the individual health coverage mandate.$$$None$$$EACH Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/862$$$False$$$False$$$False$$$A000368
s861-113$$$A bill to amend the Federal Water Pollution Control Act to provide guidance and clarification regarding issuing new and renewal permits, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/861$$$False$$$False$$$False$$$M000355
s860-113$$$A bill to amend the Farm Security and Rural Investment Act of 2002 to improve energy programs.$$$None$$$Rural Energy Investment Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/860$$$False$$$False$$$False$$$F000457
s859-113$$$A bill to amend the Farm Security and Rural Investment Act of 2002 to provide for the conducts of activities to detect, and respond in a timely manner to, threats to animal health.$$$None$$$Animal and Public Health Protection Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/859$$$False$$$False$$$False$$$B001267
s858-113$$$A bill to provide for an earlier start for State health care coverage innovation waivers under the Patient Protection and Affordable Care Act, and for other purposes.$$$None$$$State Leadership in Health Care Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/858$$$False$$$False$$$False$$$S000033
s857-113$$$A bill to amend the Family and Medical Leave Act of 1993 to permit leave to care for a same-sex spouse, domestic partner, parent-in-law, adult child, sibling, grandchild, or grandparent who has a serious health condition.$$$None$$$Family and Medical Leave Inclusion Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/857$$$False$$$False$$$False$$$D000563
s856-113$$$A bill to foster stability in Syria, and for other purposes.$$$None$$$Syria Stabilization Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/856$$$False$$$False$$$False$$$M000639
s855-113$$$A bill to increase the portion of community development block grants that may be used to provide public services, and for other purposes.$$$None$$$CDBG Public Services Flexibility Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/855$$$False$$$False$$$False$$$N000032
s854-113$$$A bill to improve student academic achievement in science, technology, engineering, and mathematics subjects.$$$None$$$STEM Education for the Global Economy Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/854$$$False$$$False$$$False$$$M001176
s853-113$$$A bill to provide the Secretary of Transportation with the flexibility to transfer certain funds to prevent reduced operations and staffing of the Federal Aviation Administration, and for other purposes.$$$None$$$Reducing Flight Delays Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/853$$$True$$$False$$$False$$$C001035
s852-113$$$A bill to improve health care furnished by the Department of Veterans Affairs by increasing access to complementary and alternative medicine and other approaches to wellness and preventive care, and for other purposes.$$$None$$$Veterans' Health Promotion Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/852$$$True$$$False$$$False$$$S000033
s851-113$$$A bill to amend title 38, United States Code, to extend to all veterans with a serious service-connected injury eligibility to participate in the family caregiver services program.$$$None$$$Caregivers Expansion and Improvement Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/851$$$True$$$False$$$False$$$S000033
s850-113$$$A bill to prohibit the National Labor Relations Board from taking any action that requires a quorum of the members of the Board until such time as Board constituting a quorum shall have been confirmed by the Senate, the Supreme Court issues a decision on the constitutionality of the appointments to the Board made in January 2012, or the adjournment sine die of the first session of the 113th Congress.$$$None$$$Preventing Greater Uncertainty in Labor-Management Relations Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/850$$$False$$$False$$$False$$$A000360
s849-113$$$A bill to amend the Healthy Forests Restoration Act of 2003 to provide for the conduct of stewardship contracting projects, and for other purposes.$$$None$$$Permanent Stewardship Contracting Authority Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/849$$$False$$$False$$$False$$$B001267
s848-113$$$A bill to promote transparency by permitting the Public Company Accounting Oversight Board to allow its disciplinary proceedings to be open to the public, and for other purposes.$$$None$$$PCAOB Enforcement Transparency Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/848$$$False$$$False$$$False$$$R000122
s847-113$$$A bill to amend the Marine Mammal Protection Act of 1972 to allow the importation of polar bear trophies taken in sport hunts in Canada before the date on which the polar bear was determined to be a threatened species under the Endangered Species Act of 1973.$$$None$$$Polar Bear Conservation and Fairness Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/847$$$False$$$False$$$False$$$C000880
s846-113$$$A bill to amend the Family and Medical Leave Act of 1993 to permit leave to care for a same-sex spouse, domestic partner, parent-in-law, adult child, sibling, grandchild, or grandparent who has a serious health condition.$$$None$$$Family and Medical Leave Inclusion Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/846$$$False$$$False$$$False$$$D000563
s845-113$$$A bill to amend title 38, United States Code, to improve the Department of Veterans Affairs Health Professionals Educational Assistance Program, and for other purposes.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/845$$$True$$$False$$$False$$$T000464
s844-113$$$A bill to amend the Elementary and Secondary Education Act of 1965 in order to support the community schools model.$$$None$$$Supporting Community Schools Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/844$$$False$$$False$$$False$$$S000033
s843-113$$$A bill to limit the amount of ammunition purchased or possessed by certain Federal agencies for a 6-month period.$$$None$$$Ammunition Management for More Obtainability Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/843$$$False$$$False$$$False$$$I000024
s842-113$$$A bill to amend title XVIII of the Social Security Act to provide for an extension of the Medicare-dependent hospital (MDH) program and the increased payments under the Medicare low-volume hospital program.$$$None$$$Rural Hospital Access Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/842$$$False$$$False$$$False$$$S000148
s841-113$$$A bill to designate certain Federal land in the San Juan National Forest in the State of Colorado as wilderness, and for other purposes.$$$None$$$Hermosa Creek Watershed Protection Act of 2014$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/841$$$True$$$False$$$False$$$B001267
s840-113$$$A bill to recruit, support, and prepare principals to improve student academic achievement at eligible schools.$$$None$$$School Principal Recruitment and Training Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/840$$$False$$$False$$$False$$$F000457
s839-113$$$A bill to reauthorize the Coral Reef Conservation Act of 2000, and for other purposes.$$$None$$$Coral Reef Conservation Amendments Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/839$$$True$$$False$$$False$$$N000032
s838-113$$$A bill to amend the Internal Revenue Code of 1986 to protect employees in the building and construction industry who are participants in multiemployer plans, and for other purposes.$$$None$$$Vested Employee Pension Benefit Protection Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/838$$$False$$$False$$$False$$$M001170
s837-113$$$A bill to expand and improve opportunities for beginning farmers and ranchers, and for other purposes.$$$None$$$Beginning Farmer and Rancher Opportunity Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/837$$$False$$$False$$$False$$$H000206
s836-113$$$A bill to amend the Internal Revenue Code of 1986 to strengthen the earned income tax credit and make permanent certain tax provisions under the American Recovery and Reinvestment Act of 2009.$$$None$$$Working Families Tax Relief Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/836$$$False$$$False$$$False$$$B000944
s835-113$$$A bill to amend the Internal Revenue Code of 1986 to extend and modify the American Opportunity Tax Credit, and for other purposes.$$$None$$$American Opportunity Tax Credit Permanence and Consolidation Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/835$$$False$$$False$$$False$$$S000148
s834-113$$$A bill to amend the Child Care and Development Block Grant Act of 1990 to ensure access to high-quality child care for homeless children and families, and for other purposes.$$$None$$$Improving Access to Child Care for Homeless Families Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/834$$$False$$$False$$$False$$$M001111
s833-113$$$A bill to amend subtitle B of title VII of the McKinney-Vento Homeless Assistance Act to provide education for homeless children and youths, and for other purposes.$$$None$$$Educational Success for Children and Youth Without Homes Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/833$$$False$$$False$$$False$$$M001111
s832-113$$$A bill to require the Secretary of Veterans Affairs to carry out pilot programs on furnishing case management services and assisted living to children of Vietnam veterans and certain Korea service veterans born with spina bifida and children of women Vietnam veterans born with certain birth defects, and for other purposes.$$$None$$$Improving the Lives of Children with Spina Bifida Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/832$$$True$$$False$$$False$$$D000607
s831-113$$$A bill to limit the authority of the Secretary of the Interior to issue regulations before December 31, 2017, under the Surface Mining Control and Reclamation Act of 1977.$$$None$$$Coal Miner Employment and Domestic Energy Infrastructure Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/831$$$False$$$False$$$False$$$C000542
s830-113$$$A bill to amend the Federal Water Pollution Control Act to clarify and confirm the authority of the Environmental Protection Agency to deny or restrict the use of defined areas as disposal sites for the discharge of dredged or fill material.$$$None$$$EPA Fair Play Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/830$$$False$$$False$$$False$$$M001183
s829-113$$$A bill to improve the financial literacy of students.$$$None$$$Financial Literacy for Students Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/829$$$False$$$False$$$False$$$H001049
s828-113$$$A bill to amend the Oil Pollution Act of 1990 to require oil polluters to pay the full cost of oil spills, and for other purposes.$$$None$$$Big Oil Bailout Prevention Unlimited Liability Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/828$$$False$$$False$$$False$$$M000639
s827-113$$$A bill to amend the Internal Revenue Code of 1986 to require oil polluters to pay the full cost of oil spills, and for other purposes.$$$None$$$Big Oil Bailout Prevention Trust Fund Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/827$$$False$$$False$$$False$$$M000639
s826-113$$$A bill to amend the Internal Revenue Code of 1986 to reform and enforce taxation of tobacco products.$$$None$$$Tobacco Tax and Enforcement Reform Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/826$$$False$$$False$$$False$$$L000123
s825-113$$$A bill to amend title 38, United States Code, to improve the provision of services for homeless veterans, and for other purposes.$$$None$$$Homeless Veterans Prevention Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/825$$$True$$$False$$$False$$$S000033
s824-113$$$A bill to amend the Securities Exchange Act of 1934 to require shareholder authorization before a public company may make certain political expenditures, and for other purposes.$$$None$$$Shareholder Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/824$$$False$$$False$$$False$$$M000639
s823-113$$$A bill to authorize the appropriation of $500,000,000 for fiscal year 2014 to provide grants to States for surface transportation projects of national and regional significance.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/823$$$False$$$False$$$False$$$W000802
s822-113$$$A bill to protect crime victims' rights, to eliminate the substantial backlog of DNA samples collected from crime scenes and convicted offenders, to improve and expand the DNA testing capacity of Federal, State, and local crime laboratories, to increase research and development of new DNA testing technologies, to develop new training programs regarding the collection and use of DNA evidence, to provide post conviction testing of DNA evidence to exonerate the innocent, to improve the performance of counsel in State capital cases, and for other purposes.$$$None$$$Justice for All Reauthorization Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/822$$$True$$$False$$$False$$$L000174
s821-113$$$A bill to amend the Department of Agriculture Reorganization Act of 1994 to establish in the Department of Agriculture a Healthy Food Financing Initiative.$$$None$$$Healthy Food Financing Initiative$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/821$$$False$$$False$$$False$$$G000555
s820-113$$$A bill to provide for a uniform national standard for the housing and treatment of egg-laying hens, and for other purposes.$$$None$$$Egg Products Inspection Act Amendments of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/820$$$False$$$False$$$False$$$F000062
s819-113$$$A bill to amend title 38, United States Code, to require a program of mental health care and rehabilitation for veterans for service-related post-traumatic stress disorder, depression, anxiety disorder, or a related substance use disorder, and for other purposes.$$$None$$$Veterans Mental Health Treatment First Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/819$$$True$$$False$$$False$$$B001135
s818-113$$$A bill to provide the Secretary of Transportation with the flexibility to transfer certain funds to prevent furloughs by the Federal Aviation Administration, and for other purposes.$$$None$$$Reducing Flight Delays Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/818$$$False$$$False$$$False$$$C001035
s817-113$$$A bill to exempt the Federal Aviation Administration from sequestration, and for other purposes.$$$None$$$JET Delays Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/817$$$False$$$False$$$False$$$G000555
s816-113$$$A bill to amend the Omnibus Public Land Management Act of 2009 to provide for the conduct of stewardship end result contracting projects.$$$None$$$Stewardship End Result Contracting Project Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/816$$$False$$$False$$$False$$$U000038
s815-113$$$A bill to prohibit employment discrimination on the basis of sexual orientation or gender identity.$$$ENDA bill$$$Employment Non-Discrimination Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/815$$$True$$$False$$$False$$$M001176
s814-113$$$A bill to provide stronger penalties for violations of the Chemical Facility Anti-Terrorism Standards.$$$None$$$Protecting Communities from Chemical Explosions Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/814$$$False$$$False$$$False$$$L000123
s813-113$$$A bill to require that Peace Corps volunteers be subject to the same limitations regarding coverage of abortion services as employees of the Peace Corps with respect to coverage of such services, and for other purposes.$$$None$$$Peace Corps Equity Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/813$$$False$$$False$$$False$$$L000123
s812-113$$$A bill to authorize the Secretary of the Interior to take actions to implement the Agreement between the United States of America and the United Mexican States Concerning Transboundary Hydrocarbon Reservoirs in the Gulf of Mexico.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/812$$$True$$$False$$$False$$$W000779
s811-113$$$A bill to amend the Emergency Food Assistance Act of 1983 to provide for the increased purchase of Kosher and Halal food and to modify the labeling of the commodities list under the emergency food assistance program to enable Kosher and Halal food bank operators to identify which commodities to obtain from local food banks.$$$None$$$Halal and Kosher Food Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/811$$$False$$$False$$$False$$$G000555
s810-113$$$A bill to require a pilot program on an online computerized assessment to enhance detection of behaviors indicating a risk of suicide and other mental health conditions in members of the Armed Forces, and for other purposes.$$$None$$$Jacob Sexton Military Suicide Prevention Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/810$$$False$$$False$$$False$$$D000607
s809-113$$$A bill to amend the Federal Food, Drug, and Cosmetic Act to require that genetically engineered food and foods that contain genetically engineered ingredients be labeled accordingly.$$$None$$$Genetically Engineered Food Right-to-Know Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/809$$$False$$$False$$$False$$$B000711
s808-113$$$A bill to establish the Office of the Inspector General of the Senate.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/808$$$False$$$False$$$False$$$M001170
s807-113$$$A bill to require that Federal regulations use plain writing that is clear, concise, and well-organized, and follows other best practices appropriate to the subject or field and intended audience.$$$None$$$Plain Writing Act for Regulations of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/807$$$False$$$False$$$False$$$M001170
s806-113$$$A bill to amend part B of title XVIII of the Social Security Act to exclude customary prompt pay discounts from manufacturers to wholesalers from the average sales price for drugs and biologicals under Medicare.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/806$$$False$$$False$$$False$$$R000307
s805-113$$$A bill to improve compliance with mine and occupational safety and health laws, and empower workers to raise safety concerns, prevent future mine and other workplace tragedies, and establish rights of families of victims of workplace accidents, and for other purposes.$$$None$$$Robert C. Byrd Mine and Workplace Safety and Health Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/805$$$False$$$False$$$False$$$R000361
s804-113$$$A bill to streamline and address overlap in the Federal workforce investment system, steer Federal training dollars toward skills needed by industry, establish incentives for accountability through a Pay for Performance pilot program, and provide new access to the National Directory of New Hires, to measure performance and better connect the unemployed to jobs, and for other purposes.$$$None$$$Careers through Responsive, Efficient, and Effective Retraining Act$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/804$$$False$$$False$$$False$$$P000449
s803-113$$$A bill to provide enhanced disaster unemployment assistance to States affected by Hurricane Sandy and Tropical Storm Sandy of 2012, and for other purposes.$$$None$$$Superstorm Sandy Unemployment Relief Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/803$$$False$$$False$$$False$$$L000123
s802-113$$$A bill to clarify Congressional intent regarding the regulation of the use of pesticides in or near navigable waters, and for other purposes.$$$None$$$Sensible Environmental Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/802$$$False$$$False$$$False$$$H001049
s801-113$$$A bill to amend the Federal Crop Insurance Act to provide for crop production on native sod.$$$None$$$Prairie Protection Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/801$$$False$$$False$$$False$$$T000250
s800-113$$$A bill to require the Secretary of Veterans Affairs to ensure that the South Texas Department of Veterans Affairs Health Care Center at Harlingen, located in Harlingen, Texas, includes a full-service inpatient health care facility of the Department of Veterans Affairs, to redesignate such center, and for other purposes.$$$None$$$Treto Garza Far South Texas Veterans Inpatient Care Act of 2013$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/800$$$True$$$False$$$False$$$C001056
s799-113$$$A bill to provide for a sequester replacement.$$$None$$$None$$$None$$$http://beta.congress.gov/bill/113th/senate-bill/799$$$False$$$False$$$False$$$I000024
