hr1-112,h67-2011,112,2011-02-17T15:30:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll067.xml,171_256_6_0,168_70_2_0,3_186_4_0,None
hr1-112,h68-2011,112,2011-02-17T15:37:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll068.xml,217_209_7_0,214_22_4_0,3_187_3_0,None
hr1-112,h69-2011,112,2011-02-17T15:41:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll069.xml,248_177_8_0,223_13_4_0,25_164_4_0,None
hr1-112,h70-2011,112,2011-02-17T15:44:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll070.xml,239_186_8_0,224_10_6_0,15_176_2_0,None
hr1-112,h71-2011,112,2011-02-17T15:47:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll071.xml,104_322_5_2,86_150_3_1,18_172_2_1,None
hr1-112,h72-2011,112,2011-02-17T15:50:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll072.xml,115_316_2_0,115_124_1_0,0_192_1_0,None
hr1-112,h73-2011,112,2011-02-17T15:54:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll073.xml,249_179_5_0,232_5_3_0,17_174_2_0,None
hr1-112,h74-2011,112,2011-02-17T15:57:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll074.xml,313_117_3_0,141_97_2_0,172_20_1_0,None
hr1-112,h75-2011,112,2011-02-17T16:00:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll075.xml,176_250_7_0,176_60_4_0,0_190_3_0,None
hr1-112,h76-2011,112,2011-02-17T16:04:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll076.xml,268_163_2_0,226_13_1_0,42_150_1_0,None
hr1-112,h77-2011,112,2011-02-17T16:07:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll077.xml,274_155_4_0,230_7_3_0,44_148_1_0,None
hr1-112,h78-2011,112,2011-02-17T16:11:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll078.xml,190_241_2_0,180_59_1_0,10_182_1_0,None
hr1-112,h79-2011,112,2011-02-17T16:14:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll079.xml,176_250_7_0,176_60_4_0,0_190_3_0,None
hr1-112,h80-2011,112,2011-02-17T23:35:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll080.xml,91_339_3_0,6_234_0_0,85_105_3_0,None
hr1-112,h81-2011,112,2011-02-17T23:38:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll081.xml,247_175_11_0,234_1_5_0,13_174_6_0,None
hr1-112,h82-2011,112,2011-02-17T23:42:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll082.xml,267_159_6_1,79_156_4_1,188_3_2_0,None
hr1-112,h83-2011,112,2011-02-17T23:45:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Agreed to,http://clerk.house.gov/evs/2011/roll083.xml,244_181_8_0,234_4_2_0,10_177_6_0,None
hr1-112,h84-2011,112,2011-02-17T23:51:00Z,amendment,On Agreeing to the Amendment,On Agreeing to the Amendment,1/2,Failed,http://clerk.house.gov/evs/2011/roll084.xml,137_292_3_1,89_149_1_1,48_143_2_0,None
