C000266,51.2781289985,52.9721649324,99.8425235965,50.0208979924,62.96,
C000286,45.6471135635,48.0085844357,90.708892193,46.8341590265,38.36,
C000380,48.8849474386,49.1841692902,N/A,48.4275285095,13.11,
C000537,46.0694397211,43.8660473295,92.9135618422,54.9458582126,41.92,
C000542,48.3218458951,46.2358771155,98.5827123684,46.2547519418,44.86,
C000556,49.0257228245,50.3784142218,78.5832091229,51.6142674754,39.32,
C000560,51.5596797702,46.4597980402,84.5673124562,45.8201966282,37.90,
C000567,48.1810705092,48.6990072868,96.5355191228,45.9650483994,45.72,
C000705,46.9140920364,42.2799407798,96.8504719298,46.3996037129,37.62,
C000714,57.6130213629,66.4447405663,91.4962742106,46.9790107977,81.63,
C000754,47.4771935799,47.075580583,98.4252359649,52.1936745602,49.19,
C000794,45.3655627917,43.4182054802,86.4570292983,55.5252652973,36.21,
C000880,51.5596797702,50.3597541447,98.2677595614,45.5304930859,53.22,
C000984,51.1373536126,53.7185680146,96.3780427193,47.8481214247,58.14,
C001035,57.3314705911,53.1027854718,100.0,47.1238625688,69.62,
C001036,53.9528613301,53.9798090934,96.0630899123,49.5863426789,64.29,
C001037,51.2781289985,53.5879474752,93.8584202632,47.5584178824,55.29,
C001038,49.4480489821,49.8186119101,95.1182314913,55.8149688397,56.43,
C001045,46.0694397211,47.9339441275,97.9528067544,55.6701170685,51.13,
C001046,45.5063381776,40.7124943072,87.4018877194,75.0,48.65,
C001047,51.841230542,50.4903746841,96.3780427193,51.4694157042,57.97,
C001048,48.0402951234,48.8109677491,84.8822652633,55.6701170685,44.22,
C001049,50.5742520691,54.8195125609,91.9687034211,48.862083823,55.50,
C001050,44.9432366341,42.8957233226,62.3631395616,61.3193361445,21.39,
C001051,48.462621281,50.13583322,93.0710382457,53.642192272,51.11,
C001053,48.7441720527,53.4013467047,96.5355191228,51.7591192466,58.14,
C001056,57.7537967488,49.445410369,97.9528067544,45.2407895435,60.67,
C001058,44.8024612482,43.0823240932,96.2205663158,51.1797121619,39.26,
C001059,48.6033966669,49.2028293673,93.0710382457,53.4973405008,49.82,
C001060,48.0402951234,46.403817809,95.2757078948,51.3245639331,46.05,
C001061,49.0257228245,50.45305453,85.3546944738,52.9179334161,45.47,
C001062,46.7733166505,50.3410940676,99.370094386,53.642192272,55.26,
C001063,47.0548674222,46.6837189648,97.4803775439,57.5531900938,52.16,
C001064,47.0548674222,44.9110116446,51.0248385091,59.4362631192,16.11,
C001066,47.1956428081,51.9458606944,92.9135618422,49.8760462213,48.48,
C001067,46.7733166505,56.9467613452,93.2285146492,49.5863426789,54.97,
C001068,57.3314705911,66.3327801039,95.5906607018,46.6893072553,84.90,
C001069,49.7295997539,55.9391171842,97.6378539474,49.1517873654,61.99,
C001070,75.0,50.6396553005,98.8976651754,45.8201966282,90.41,
C001071,48.1810705092,44.0899682542,96.6929955263,50.6003050772,44.12,
C001072,49.588824368,56.7228404205,95.2757078948,47.8481214247,59.24,
C001075,54.5159628736,48.437766208,94.3308494737,49.8760462213,55.21,
C001076,54.9382890313,48.5870468245,92.1261798246,50.0208979924,53.99,
C001077,50.5742520691,54.3530106345,98.7401887719,49.2966391365,62.13,
C001078,53.8120859443,61.4624999925,99.370094386,48.1378249671,77.41,
C001080,48.0402951234,62.0223023042,93.0710382457,47.7032696536,62.58,
C001081,45.2247874058,44.4258496411,98.5827123684,51.3245639331,43.14,
