Schakowsky,Janice,IL,9
Schiff,Adam,CA,29
Schilling,Robert,IL,17
Schmidt,Jean,OH,2
Schock,Aaron,IL,18
Schrader,Kurt,OR,5
Schwartz,Allyson,PA,13
Schweikert,David,AZ,5
Scott,Austin,GA,8
Scott,David,GA,13
Scott,Robert,VA,3
Scott,Tim,SC,1
Sensenbrenner,F.,WI,5
Serrano,Jose,NY,16
Sessions,Pete,TX,32
Sewell,Terri,AL,7
Sherman,Brad,CA,27
Shimkus,John,IL,19
Shuler,Heath,NC,11
Shuster,Bill,PA,9
Simpson,Michael,ID,2
Sires,Albio,NJ,13
Slaughter,Louise,NY,28
Smith,Adam,WA,9
Smith,Adrian,NE,3
Smith,Christopher,NJ,4
Smith,Lamar,TX,21
Southerland,Steve,FL,2
Speier,Jackie,CA,12
Stark,Fortney,CA,13
Stearns,Clifford,FL,6
Stivers,Steve,OH,15
Stutzman,Marlin,IN,3
Sullivan,John,OK,1
Sutton,Betty,OH,13
Terry,Lee,NE,2
Thompson,Bennie,MS,2
Thompson,Glenn,PA,5
Thompson,Mike,CA,1
Thornberry,Mac,TX,13
Tiberi,Patrick,OH,12
Tierney,John,MA,6
Tipton,Scott,CO,3
Tonko,Paul,NY,21
Towns,Edolphus,NY,10
Tsongas,Niki,MA,5
Turner,Michael,OH,3
Turner,Robert,NY,9
Upton,Fred,MI,6
VanHollen,Chris,MD,8
Velazquez,Nydia,NY,12
Visclosky,Peter,IN,1
Walberg,Tim,MI,7
Walden,Greg,OR,2
Walsh,Joe,IL,8
Walz,Timothy,MN,1
WassermanSchultz,Debbie,FL,20
Waters,Maxine,CA,35
Watt,Melvin,NC,12
Waxman,Henry,CA,30
Webster,Daniel,FL,8
Welch,Peter,VT,0
West,Allen,FL,22
Westmoreland,Lynn,GA,3
Whitfield,Ed,KY,1
Wilson,Frederica,FL,17
Wilson,Joe,SC,2
Wittman,Robert,VA,1
Wolf,Frank,VA,10
Womack,Steve,AR,3
Woodall,Rob,GA,7
Woolsey,Lynn,CA,6
Yarmuth,John,KY,3
Yoder,Kevin,KS,3
Young,Bill,FL,10
Young,Don,AK,0
Young,Todd,IN,9
SENATORS
AL,Richard,Shelby,and,Jefferson,Sessions
AK,Lisa,Murkowski,and,Mark,Begich
AZ,John,McCain,and,Jon,Kyl
AR,Mark,Pryor,and,John,Boozman
CA,Dianne,Feinstein,and,Barbara,Boxer
CO,Mark,Udall,and,Michael,Bennet
CT,Joseph,Lieberman,and,Richard,Blumenthal
DE,Thomas,Carper,and,Chris,Coons
FL,Bill,Nelson,and,Marco,Rubio
GA,Saxby,Chambliss,and,John,Isakson
HI,Daniel,Akaka,and,Brian,Schatz
ID,Michael,Crapo,and,James,Risch
IL,Richard,Durbin,and,Mark,Kirk
IN,Richard,Lugar,and,Daniel,Coats
IA,Charles,Grassley,and,Thomas,Harkin
KS,Pat,Roberts,and,Jerry,Moran
KY,Mitch,McConnell,and,Rand,Paul
LA,Mary,Landrieu,and,David,Vitter
ME,Olympia,Snowe,and,Susan,Collins
MD,Barbara,Mikulski,and,Benjamin,Cardin
MA,John,Kerry,and,Scott,Brown
MI,Carl,Levin,and,Debbie,Stabenow
MN,Amy,Klobuchar,and,Alan,Franken
MS,Thad,Cochran,and,Roger,Wicker
MO,Claire,McCaskill,and,Roy,Blunt
MT,Max,Baucus,and,Jon,Tester
NE,Ben,Nelson,and,Mike,Johanns
NV,Harry,Reid,and,Dean,Heller
NH,Jeanne,Shaheen,and,Kelly,Ayotte
NJ,Frank,Lautenberg,and,Robert,Menendez
NM,Jeff,Bingaman,and,Tom,Udall
NY,Charles,Schumer,and,Kirsten,Gillibrand
NC,Richard,Burr,and,Kay,Hagan
ND,Kent,Conrad,and,John,Hoeven
OH,Sherrod,Brown,and,Robert,Portman
OK,James,Inhofe,and,Thomas,Coburn
OR,Ron,Wyden,and,Jeff,Merkley
PA,Robert,Casey,and,Patrick,Toomey
RI,John,Reed,and,Sheldon,Whitehouse
SC,Lindsey,Graham,and,Jim,DeMint
SD,Tim,Johnson,and,John,Thune
TN,Lamar,Alexander,and,Bob,Corker
TX,Kay,Hutchison,and,John,Cornyn
UT,Orrin,Hatch,and,Mike,Lee
VT,Patrick,Leahy,and,Bernard,Sanders
VA,Jim,Webb,and,Mark,Warner
WA,Patty,Murray,and,Maria,Cantwell
WV,John,Rockefeller,and,Joe,Manchin
WI,Herbert,Kohl,and,Ron,Johnson
WY,Michael,Enzi,and,John,Barrasso
