Menendez, Robert (D, New Jersey Senate)
Meng, Grace (D, New York District 6 )
Merkley, Jeff (D, Oregon Senate)
Messer, Luke (R, Indiana District 6 )
Mica, John L (R, Florida District 7 )
Mikulski, Barbara A (D, Maryland Senate)
Miller, Candice S (R, Michigan District 10 )
Miller, Jeff (R, Florida District 1 )
Moolenaar, John (R, Michigan District 4 )
Mooney, Alex (R, West Virginia District 2 )
Moore, Gwen (D, Wisconsin District 4 )
Moran, Jerry (R, Kansas Senate)
Moulton, Seth (D, Massachusetts District 6 )
Mullin, Markwayne (R, Oklahoma District 2 )
Mulvaney, Mick (R, South Carolina District 5 )
Murkowski, Lisa (R, Alaska Senate)
Murphy, Christopher S (D, Connecticut Senate)
Murphy, Patrick (D, Florida District 18 )
Murphy, Tim (R, Pennsylvania District 18 )
Murray, Patty (D, Washington Senate)
Nadler, Jerrold (D, New York District 10 )
Napolitano, Grace (D, California District 32 )
Neal, Richard E (D, Massachusetts District 1 )
Nelson, Bill (D, Florida Senate)
Neugebauer, Randy (R, Texas District 19 )
Newhouse, Dan (R, Washington District 4 )
Noem, Kristi (R, South Dakota District 1 )
Nolan, Rick (D, Minnesota District 8 )
Norcross, Don (D, New Jersey District 1 )
Norton, Eleanor Holmes (D, District of Columbia At Large)
Nugent, Richard (R, Florida District 11 )
Nunes, Devin (R, California District 22 )
O'Rourke, Beto (D, Texas District 16 )
Olson, Pete (R, Texas District 22 )
Palazzo, Steven (R, Mississippi District 4 )
Pallone, Frank Jr (D, New Jersey District 6 )
Palmer, Gary (R, Alabama District 6 )
Pascrell, Bill Jr (D, New Jersey District 9 )
Paul, Rand (R, Kentucky Senate)
Paulsen, Erik (R, Minnesota District 3 )
Payne, Donald M Jr (D, New Jersey District 10 )
Pearce, Steve (R, New Mexico District 2 )
Pelosi, Nancy (D, California District 12 )
Perdue, David (R, Georgia Senate)
Perlmutter, Edwin G (D, Colorado District 7 )
Perry, Scott (R, Pennsylvania District 4 )
Peters, Gary (D, Michigan Senate)
Peters, Scott (D, California District 52 )
Peterson, Collin (D, Minnesota District 7 )
Pierluisi, Pedro (D, Puerto Rico At Large)
Pingree, Chellie (D, Maine District 1 )
Pittenger, Robert (R, North Carolina District 9 )
Pitts, Joe (R, Pennsylvania District 16 )
Plaskett, Stacey (D, Virgin Islands At Large)
Pocan, Mark (D, Wisconsin District 2 )
Poe, Ted (R, Texas District 2 )
Poliquin, Bruce (R, Maine District 2 )
Polis, Jared (D, Colorado District 2 )
Pompeo, Mike (R, Kansas District 4 )
Portman, Rob (R, Ohio Senate)
Posey, Bill (R, Florida District 8 )
Price, David (D, North Carolina District 4 )
Price, Tom (R, Georgia District 6 )
Quigley, Mike (D, Illinois District 5 )
Radewagen, Amata Coleman (R, American Samoa At Large)
Rangel, Charles B (D, New York District 13 )
Ratcliffe, John Lee (R, Texas District 4 )
Reed, Jack (D, Rhode Island Senate)
Reed, Tom (R, New York District 23 )
Reichert, Dave (R, Washington District 8 )
Reid, Harry (D, Nevada Senate)
Renacci, Jim (R, Ohio District 16 )
Ribble, Reid (R, Wisconsin District 8 )
Rice, Kathleen (D, New York District 4 )
Rice, Tom (R, South Carolina District 7 )
Richmond, Cedric (D, Louisiana District 2 )
Rigell, Scott (R, Virginia District 2 )
Risch, James E (R, Idaho Senate)
Roberts, Pat (R, Kansas Senate)
Roby, Martha (R, Alabama District 2 )
Roe, Phil (R, Tennessee District 1 )
Rogers, Hal (R, Kentucky District 5 )
Rogers, Mike D (R, Alabama District 3 )
Rohrabacher, Dana (R, California District 48 )
Rokita, Todd (R, Indiana District 4 )
Rooney, Tom (R, Florida District 17 )
Ros-Lehtinen, Ileana (R, Florida District 27 )
Roskam, Peter (R, Illinois District 6 )
Ross, Dennis (R, Florida District 15 )
Rothfus, Keith J (R, Pennsylvania District 12 )
Rounds, Mike (R, South Dakota Senate)
Rouzer, David (R, North Carolina District 7 )
Roybal-Allard, Lucille (D, California District 40 )
Royce, Ed (R, California District 39 )
Rubio, Marco (R, Florida Senate)
Ruiz, Raul (D, California District 36 )
Ruppersberger, Dutch (D, Maryland District 2 )
